Driver,Wins,AvgStart,AvgMidRace,AvgFinish,AvgPos,PassDiff,GreenFlagPasses,GreenFlagPassed,QualityPasses,PercentQualityPasses,NumFastestLaps,LapsInTop15,PercentLapsInTop15,LapsLed,PercentLapsLed,TotalLaps,DriverRating,Points,Year
Cole Whitt,0,30.3,31.1,33.9,32.2,-36,738,774,178,24.1,9,34,1.8,0,0.0,1920,41.8,0,2013
Kevin Swindell,0,33.0,41.0,38.0,40.0,9,16,7,0,0.0,0,0,0.0,0,0.0,244,32.1,0,2013
Brian Scott,0,19.0,29.0,27.0,27.2,-10,56,66,0,0.0,1,0,0.0,0,0.0,330,56.0,0,2013
Blake Koch,0,43.0,38.0,38.0,38.3,3,12,9,0,0.0,0,0,0.0,0,0.0,216,28.5,0,2013
Kyle Larson,0,25.8,23.0,29.3,26.6,-27,344,371,45,13.1,8,88,8.8,1,0.1,1005,59.7,0,2013
Parker Kligerman,0,26.5,26.5,21.5,24.9,-33,153,186,0,0.0,4,0,0.0,0,0.0,599,58.8,0,2013
Brad Keselowski,5,16.2,10.5,10.1,11.2,119,3676,3557,2201,59.9,538,8059,78.0,735,7.1,10328,99.0,2400,2012
Clint Bowyer,3,12.8,11.9,10.9,11.8,103,2850,2747,1618,56.8,342,8006,77.9,388,3.8,10271,96.5,2361,2012
Jimmie Johnson,5,10.6,8.8,11.2,9.2,250,2390,2140,1572,65.8,1171,8813,88.8,1744,17.6,9924,109.5,2360,2012
Kasey Kahne,2,8.8,11.6,13.1,12.6,64,3035,2971,1840,60.6,696,7626,76.9,282,2.8,9919,96.3,2345,2012
Greg Biffle,2,9.9,10.2,10.2,10.3,56,2989,2933,1912,64.0,355,7759,74.6,721,6.9,10397,99.5,2332,2012
Denny Hamlin,5,11.9,11.7,12.8,10.7,39,2515,2476,1415,56.3,801,7721,75.2,1226,11.9,10274,100.9,2329,2012
Matt Kenseth,3,13.3,8.1,11.1,10.4,136,2958,2822,1923,65.0,357,7857,75.8,480,4.6,10367,99.9,2324,2012
Kevin Harvick,1,14.6,11.6,12.1,12.9,175,3276,3101,1547,47.2,269,7362,70.8,256,2.5,10398,91.0,2321,2012
Tony Stewart,3,18.3,14.8,13.6,15.4,175,3113,2938,1508,48.4,264,5340,52.4,420,4.1,10195,86.1,2311,2012
Jeff Gordon,2,12.9,11.3,14.1,11.4,132,3037,2905,1986,65.4,658,8017,80.1,568,5.7,10006,98.0,2303,2012
Martin Truex Jr.,0,12.1,12.6,12.1,12.0,-12,3036,3048,1671,55.0,367,8001,79.2,434,4.3,10100,95.6,2299,2012
Dale Earnhardt Jr.,1,15.4,12.1,10.9,11.6,91,3173,3082,1879,59.2,331,7248,73.8,358,3.6,9817,95.9,2245,2012
Kyle Busch,1,10.2,12.0,13.3,11.2,105,3023,2918,1993,65.9,635,7642,77.6,1436,14.6,9844,101.5,1133,2012
Ryan Newman,1,10.9,15.4,15.0,15.8,-229,2652,2881,1280,48.3,78,5633,57.7,39,0.4,9767,82.0,1051,2012
Carl Edwards,0,14.5,15.4,15.6,15.5,-58,2835,2893,1443,50.9,225,5865,58.8,254,2.5,9968,84.2,1030,2012
Paul Menard,0,16.2,17.8,15.5,17.3,-73,3328,3401,1325,39.8,78,4098,39.4,26,0.2,10406,78.0,1006,2012
Joey Logano,1,11.9,17.2,17.4,16.7,-171,3023,3194,1267,41.9,149,5165,50.5,190,1.9,10224,79.4,965,2012
Marcos Ambrose,1,14.3,17.0,17.9,16.9,-101,3619,3720,1818,50.2,177,4036,39.6,74,0.7,10198,79.9,950,2012
Jeff Burton,0,23.1,20.6,19.6,19.6,-16,3487,3503,1204,34.5,89,3174,31.3,38,0.4,10139,72.3,883,2012
Jamie McMurray,0,21.3,19.9,20.1,19.4,-3,3649,3652,1504,41.2,91,2661,26.1,58,0.6,10206,73.0,868,2012
Aric Almirola,0,16.2,19.4,20.0,19.1,-214,3603,3817,1559,43.3,132,3681,36.6,78,0.8,10045,73.6,868,2012
Juan Pablo Montoya,0,23.3,20.6,21.7,21.5,-39,3260,3299,988,30.3,98,2324,23.1,22,0.2,10079,67.4,810,2012
Bobby Labonte,0,26.6,24.6,22.6,24.9,-140,2436,2576,295,12.1,49,987,9.8,1,0.0,10071,59.7,772,2012
Regan Smith,0,18.2,22.3,22.1,21.8,-124,2664,2788,681,25.6,48,1716,19.5,2,0.0,8819,67.1,747,2012
Kurt Busch,0,22.2,20.3,23.2,20.9,13,3002,2989,1234,41.1,174,2738,28.1,19,0.2,9738,71.0,735,2012
Mark Martin,0,9.1,12.4,15.2,11.8,-157,1905,2062,1079,56.6,182,5251,79.7,197,3.0,6590,93.2,701,2012
Travis Kvapil,0,36.6,28.0,25.7,28.7,84,2499,2415,275,11.0,46,204,2.1,13,0.1,9604,51.0,638,2012
David Ragan,0,29.9,29.1,27.0,29.0,-183,2498,2681,409,16.4,42,237,2.4,13,0.1,9685,49.2,622,2012
Casey Mears,0,26.4,28.0,27.2,27.3,-35,2767,2802,731,26.4,63,523,6.1,41,0.5,8616,54.5,612,2012
David Gilliland,0,33.8,28.5,27.3,29.0,-120,2355,2475,385,16.3,60,243,2.6,5,0.1,9503,49.8,605,2012
Landon Cassill,0,29.0,29.5,27.5,28.5,-104,2613,2717,435,16.6,61,226,2.4,5,0.1,9593,51.8,598,2012
AJ Allmendinger,0,16.3,22.4,22.6,20.0,-31,1803,1834,733,40.7,112,2423,41.7,99,1.7,5816,74.5,453,2012
Dave Blaney,0,35.2,32.4,31.8,31.9,-9,2062,2071,394,19.1,40,215,3.3,7,0.1,6607,44.9,417,2012
David Reutimann,0,31.9,29.2,29.1,28.7,-77,1966,2043,328,16.7,26,137,2.2,0,0.0,6132,52.1,388,2012
Brian Vickers,0,16.0,14.5,13.3,15.3,11,387,376,179,46.3,99,1791,65.7,158,5.8,2726,89.1,250,2012
David Stremme,0,32.6,34.8,35.6,34.8,-120,1059,1179,186,17.6,53,66,1.8,0,0.0,3612,37.5,236,2012
Michael McDowell,0,29.1,38.1,37.8,37.2,-189,827,1016,61,7.4,14,31,1.0,1,0.0,3001,36.8,187,2012
J.J. Yeley,0,37.2,37.4,37.1,37.5,-5,388,393,4,1.0,4,4,0.1,1,0.0,3134,33.5,166,2012
Josh Wise,0,33.2,39.1,39.1,39.0,-160,314,474,15,4.8,14,6,0.4,3,0.2,1590,32.0,147,2012
Ken Schrader,0,39.5,34.3,32.8,34.6,-65,217,282,0,0.0,9,2,0.1,0,0.0,3660,36.2,146,2012
Stephen Leicht,0,39.1,36.3,35.6,36.7,37,172,135,0,0.0,13,0,0.0,0,0.0,2067,32.6,126,2012
Scott Speed,0,30.6,37.6,36.7,37.1,27,294,267,16,5.4,16,20,1.4,0,0.0,1411,37.5,124,2012
Terry Labonte,0,34.0,28.3,20.8,26.8,-39,632,671,51,8.1,21,39,5.6,3,0.4,694,55.3,94,2012
Michael Waltrip,0,21.8,23.5,20.8,21.3,-22,934,956,540,57.8,16,243,30.2,21,2.6,804,70.9,94,2012
Tony Raines,0,41.4,35.1,33.9,35.6,-49,171,220,6,3.5,6,17,2.2,0,0.0,771,35.5,71,2012
Scott Riggs,0,36.6,41.1,41.2,40.8,-136,84,220,0,0.0,3,4,0.8,0,0.0,511,30.9,56,2012
Brendan Gaughan,0,33.0,34.8,31.5,33.3,-61,62,123,2,3.2,0,79,7.5,0,0.0,1057,42.7,50,2012
Boris Said,0,26.5,28.0,27.0,28.3,3,76,73,1,1.3,0,1,0.5,0,0.0,200,49.2,34,2012
Bill Elliott,0,21.0,28.0,37.0,28.0,-27,183,210,55,30.1,2,63,39.4,0,0.0,160,51.1,14,2012
Hermie Sadler,0,41.0,33.0,31.0,34.0,-14,24,38,0,0.0,0,0,0.0,0,0.0,505,33.8,13,2012
Robby Gordon,0,30.0,37.3,40.3,37.5,-8,76,84,0,0.0,4,1,0.8,0,0.0,131,35.6,11,2012
Mike Olsen,0,42.0,33.0,33.0,34.2,1,9,8,0,0.0,0,0,0.0,0,0.0,289,34.8,11,2012
Mike Skinner,0,40.0,40.8,40.8,40.3,20,28,8,0,0.0,0,1,1.2,0,0.0,82,32.4,10,2012
Kelly Bires,0,41.0,41.0,41.0,40.9,4,12,8,0,0.0,0,0,0.0,0,0.0,67,30.6,9,2012
Tomy Drissi,0,41.0,37.0,38.0,37.1,2,16,14,0,0.0,0,0,0.0,0,0.0,78,31.6,6,2012
Stacy Compton,0,39.0,38.0,39.0,37.8,1,5,4,0,0.0,0,1,4.2,0,0.0,24,35.4,5,2012
David Mayhew,0,33.0,40.0,40.0,38.3,0,5,5,0,0.0,0,0,0.0,0,0.0,25,36.5,4,2012
Patrick Long,0,43.0,42.0,42.0,42.0,1,1,0,0,0.0,0,0,0.0,0,0.0,2,32.4,2,2012
Joe Nemechek,0,37.0,39.0,39.0,38.8,-84,263,347,1,0.4,5,4,0.3,0,0.0,1507,31.8,0,2012
Elliott Sadler,0,10.0,26.0,27.0,24.1,-29,151,180,45,29.8,0,35,17.9,0,0.0,196,53.1,0,2012
Danica Patrick,0,36.1,28.3,28.3,30.6,-19,476,495,16,3.4,8,21,0.7,0,0.0,3115,46.3,0,2012
Ricky Stenhouse Jr.,0,23.5,23.8,26.5,25.3,-18,306,324,37,12.1,7,194,20.5,0,0.0,946,62.2,0,2012
Trevor Bayne,0,17.7,21.7,22.5,22.6,-137,2523,2660,1096,43.4,47,591,15.3,9,0.2,3852,64.9,0,2012
Mike Bliss,0,35.5,39.6,39.5,39.5,-87,142,229,0,0.0,1,3,0.4,1,0.1,831,32.7,0,2012
Timmy Hill,0,40.0,35.6,34.2,35.8,-45,158,203,6,3.8,2,2,0.2,0,0.0,811,34.6,0,2012
Reed Sorenson,0,38.3,39.7,39.2,39.8,-58,206,264,0,0.0,3,0,0.0,0,0.0,1749,31.1,0,2012
Sam Hornish Jr.,0,16.8,17.0,19.4,17.8,36,1955,1919,805,41.2,74,2304,42.3,16,0.3,5448,75.7,0,2012
Cole Whitt,0,37.4,39.4,39.4,39.6,-24,108,132,18,16.7,0,6,3.3,0,0.0,183,30.6,0,2012
Robert Richardson,0,41.0,35.5,31.0,31.8,-13,264,277,0,0.0,20,0,0.0,0,0.0,362,39.7,0,2012
T.J. Bell,0,40.6,33.6,31.4,33.9,9,162,153,2,1.2,2,0,0.0,0,0.0,1468,35.9,0,2012
Austin Dillon,0,22.0,15.0,24.0,21.9,-7,56,63,9,16.1,0,23,11.6,0,0.0,198,65.1,0,2012
Chris Cook,0,38.5,41.5,41.5,41.2,4,6,2,0,0.0,0,0,0.0,0,0.0,18,30.4,0,2012
Jason White,0,41.0,31.0,31.0,32.6,-2,29,31,0,0.0,1,0,0.0,0,0.0,81,36.8,0,2012
Jason Leffler,0,37.4,38.6,37.8,38.4,4,30,26,0,0.0,5,0,0.0,0,0.0,560,33.3,0,2012
Tony Stewart,5,16.6,11.6,11.8,12.7,224,3809,3585,2028,53.2,593,6578,60.8,919,8.5,10816,95.0,2403,2011
Carl Edwards,1,9.0,11.4,9.4,11.7,14,3023,3009,1755,58.1,772,8129,76.8,948,9.0,10580,100.8,2403,2011
Kevin Harvick,4,18.4,12.8,11.1,12.8,195,3867,3672,1999,51.7,307,7650,71.6,423,4.0,10687,92.2,2345,2011
Matt Kenseth,3,14.3,10.0,11.8,11.6,125,3588,3463,2101,58.6,552,7784,73.0,888,8.3,10657,97.8,2330,2011
Brad Keselowski,3,14.2,15.1,14.4,14.6,-234,3879,4113,1707,44.0,338,6132,57.3,316,3.0,10706,86.2,2319,2011
Jimmie Johnson,2,13.1,12.3,11.7,11.8,162,3576,3414,1899,53.1,824,7842,72.6,1128,10.4,10797,98.3,2304,2011
Dale Earnhardt Jr.,0,18.6,15.0,14.4,15.8,80,4301,4221,1962,45.6,209,5652,52.3,56,0.5,10799,81.8,2290,2011
Jeff Gordon,3,13.9,11.9,12.9,12.5,281,3643,3362,1739,47.7,701,7370,69.2,933,8.8,10656,95.6,2287,2011
Ryan Newman,1,11.8,15.0,13.5,13.7,-178,3856,4034,2109,54.7,212,6856,63.4,421,3.9,10815,87.5,2284,2011
Denny Hamlin,1,16.8,13.2,15.5,14.1,156,3867,3711,2038,52.7,386,6845,63.9,450,4.2,10717,87.4,2284,2011
Kurt Busch,2,12.1,13.0,13.9,12.6,-86,4087,4173,2307,56.4,373,6829,63.5,780,7.2,10760,93.6,2262,2011
Kyle Busch,4,15.0,8.3,12.6,10.2,358,3605,3247,2337,64.8,723,8410,83.8,1480,14.8,10030,103.2,2246,2011
Clint Bowyer,1,15.5,14.0,15.0,14.0,222,4191,3969,2330,55.6,188,6149,57.6,359,3.4,10676,87.5,1047,2011
Kasey Kahne,1,11.2,15.8,15.7,14.8,34,3824,3790,1887,49.3,510,6182,62.1,348,3.5,9954,88.2,1041,2011
AJ Allmendinger,0,14.4,16.1,15.5,16.7,133,4485,4352,1756,39.2,189,5421,51.7,51,0.5,10489,81.5,1013,2011
Greg Biffle,0,14.3,15.6,16.1,15.3,56,3750,3694,1752,46.7,411,6216,58.1,397,3.7,10706,87.1,997,2011
Paul Menard,1,11.5,16.3,17.6,16.2,-479,4148,4627,2047,49.3,96,4764,45.9,87,0.8,10374,79.2,947,2011
Martin Truex Jr.,0,16.6,14.5,17.4,15.7,-284,4040,4324,1865,46.2,244,5680,55.2,155,1.5,10283,82.2,937,2011
Marcos Ambrose,1,17.0,19.5,17.9,18.4,-70,3553,3623,1190,33.5,205,4432,43.0,49,0.5,10313,76.6,936,2011
Jeff Burton,0,19.7,17.1,17.3,16.2,-82,4226,4308,1801,42.6,151,4602,43.3,143,1.3,10632,81.6,935,2011
Juan Pablo Montoya,0,17.5,17.4,18.1,16.9,-176,4345,4521,1653,38.0,170,4332,40.1,126,1.2,10791,76.1,932,2011
Mark Martin,0,15.1,17.2,18.1,17.8,-256,3628,3884,1289,35.5,142,4216,40.5,78,0.7,10414,74.8,930,2011
David Ragan,1,14.6,18.4,18.5,17.6,8,3751,3743,1775,47.3,111,4679,46.0,71,0.7,10171,78.7,906,2011
Joey Logano,0,17.7,19.4,18.8,18.7,-47,4100,4147,1732,42.2,89,3408,32.8,58,0.6,10378,73.3,902,2011
Brian Vickers,0,19.6,21.9,20.1,21.0,-29,3459,3488,1193,34.5,94,3041,30.0,7,0.1,10152,70.5,846,2011
Regan Smith,1,15.1,20.2,20.9,19.8,-247,4018,4265,1535,38.2,60,2904,28.9,39,0.4,10043,70.0,820,2011
Jamie McMurray,0,17.4,19.5,21.2,19.9,-241,4013,4254,1427,35.6,182,3777,38.5,106,1.1,9819,70.5,795,2011
David Reutimann,0,20.1,21.3,21.5,20.7,-278,3812,4090,1264,33.2,112,3281,31.4,8,0.1,10451,68.7,757,2011
Bobby Labonte,0,21.7,23.2,23.8,23.9,-364,3322,3686,734,22.1,73,1487,14.3,6,0.1,10405,59.2,670,2011
David Gilliland,0,33.7,28.2,27.6,28.9,-130,2721,2851,484,17.8,54,399,4.1,7,0.1,9745,48.2,572,2011
Casey Mears,0,30.5,28.5,28.2,28.9,-170,2562,2732,533,20.8,68,387,4.4,10,0.1,8867,50.3,541,2011
Dave Blaney,0,35.5,30.9,29.4,30.3,-181,2658,2839,590,22.2,46,302,3.2,28,0.3,9463,45.0,508,2011
Andy Lally,0,36.6,31.4,30.3,32.3,-192,1739,1931,211,12.1,20,139,1.8,8,0.1,7529,38.2,398,2011
Robby Gordon,0,35.8,33.5,32.8,32.8,13,1589,1576,386,24.3,30,270,7.0,18,0.5,3834,41.1,268,2011
J.J. Yeley,0,33.8,36.9,36.6,36.5,-85,834,919,117,14.0,15,144,4.6,24,0.8,3099,36.4,192,2011
Michael McDowell,0,33.4,39.0,39.3,38.6,-124,453,577,10,2.2,9,28,1.4,5,0.3,1989,33.6,139,2011
Tony Raines,0,39.4,34.1,32.3,34.3,24,187,163,0,0.0,2,7,0.2,0,0.0,3194,33.9,129,2011
Ken Schrader,0,39.0,33.6,28.4,31.3,-4,307,311,39,12.7,4,36,1.5,2,0.1,2472,40.6,110,2011
Terry Labonte,0,38.1,27.4,29.9,29.8,-60,991,1051,142,14.3,14,96,6.6,2,0.1,1461,40.6,102,2011
Bill Elliott,0,31.7,26.0,22.5,25.3,-105,502,607,153,30.5,13,98,6.4,0,0.0,1522,50.9,100,2011
David Stremme,0,32.8,38.1,38.4,37.9,-92,194,286,5,2.6,5,7,0.4,0,0.0,1559,33.5,80,2011
Michael Waltrip,0,12.8,19.8,19.0,22.4,-70,606,676,276,45.5,8,158,31.0,1,0.2,510,59.4,56,2011
Boris Said,0,23.0,25.7,25.0,26.4,9,131,122,27,20.6,1,24,11.7,0,0.0,205,49.1,38,2011
Geoff Bodine,0,39.8,35.8,35.8,35.7,-71,62,133,2,3.2,3,3,0.4,0,0.0,774,32.2,33,2011
T.J. Bell,0,35.3,35.0,33.8,33.5,-37,124,161,15,12.1,1,16,3.4,0,0.0,473,35.7,29,2011
Stephen Leicht,0,40.0,24.0,24.0,22.6,-8,82,90,10,12.2,4,49,12.3,0,0.0,399,59.5,20,2011
Andy Pilgrim,0,43.0,34.0,26.0,29.7,-19,92,111,11,12.0,0,8,7.3,0,0.0,110,46.6,18,2011
Chris Cook,0,42.0,35.0,27.0,34.8,8,42,34,0,0.0,0,0,0.0,0,0.0,110,38.9,17,2011
Travis Kvapil,0,32.3,32.6,30.5,31.8,-168,1799,1967,361,20.1,33,207,2.9,13,0.2,7133,42.6,11,2011
Brian Simo,0,40.0,31.0,33.0,32.6,-16,45,61,0,0.0,0,1,0.9,0,0.0,109,38.6,11,2011
Brian Keselowski,0,21.0,27.3,22.0,25.9,-19,105,124,37,35.2,7,20,15.6,0,0.0,128,40.5,3,2011
Steve Park,0,33.0,42.0,42.0,42.0,-1,1,2,0,0.0,0,0,0.0,0,0.0,4,26.9,2,2011
Erik Darnell,0,37.5,40.5,40.5,40.2,-5,13,18,0,0.0,1,2,2.5,0,0.0,80,29.7,2,2011
Derrike Cope,0,19.0,19.0,18.3,20.8,-25,59,84,18,30.5,1,47,34.8,1,0.7,135,34.6,0,2011
Kevin Conway,0,22.0,33.8,34.0,33.8,-17,52,69,19,36.5,3,11,12.0,0,0.0,92,30.1,0,2011
Joe Nemechek,0,34.3,38.4,39.2,38.7,41,567,526,68,12.0,8,70,5.1,4,0.3,1361,31.9,0,2011
Robert Richardson,0,24.5,29.0,27.0,27.5,-58,84,142,5,6.0,4,7,6.7,0,0.0,105,32.9,0,2011
Steve Wallace,0,27.0,22.0,21.0,19.5,-65,322,387,98,30.4,3,53,20.2,0,0.0,262,48.0,0,2011
Trevor Bayne,1,17.9,26.5,25.4,24.5,-32,2367,2399,843,35.6,64,729,17.8,11,0.3,4095,63.4,0,2011
Todd Bodine,0,28.8,30.0,30.8,29.7,4,124,120,73,58.9,2,44,23.2,0,0.0,190,39.8,0,2011
Landon Cassill,0,28.7,29.2,28.8,29.1,-229,2558,2787,715,28.0,34,426,5.4,13,0.2,7917,48.9,0,2011
Mike Skinner,0,35.8,38.7,38.4,38.7,-14,256,270,37,14.5,5,51,3.8,3,0.2,1343,32.9,0,2011
Dennis Setzer,0,40.0,36.0,38.0,37.4,-1,7,8,0,0.0,1,0,0.0,0,0.0,336,26.8,0,2011
Hermie Sadler,0,39.7,32.7,29.0,33.3,-37,83,120,8,9.6,1,7,0.5,0,0.0,1303,36.3,0,2011
David Starr,0,33.4,24.8,30.4,29.6,3,272,269,36,13.2,0,22,1.8,2,0.2,1254,45.0,0,2011
Mike Bliss,0,40.0,32.1,30.1,31.7,-28,1041,1069,110,10.6,2,91,1.7,3,0.1,5311,41.6,0,2011
Scott Wimmer,0,40.3,36.5,35.0,36.2,-77,67,144,0,0.0,0,5,1.0,1,0.2,518,34.4,0,2011
Ricky Stenhouse Jr.,0,9.0,28.0,11.0,23.0,12,161,149,41,25.5,0,76,18.9,0,0.0,402,72.3,0,2011
Johnny Sauter,0,41.0,37.0,36.0,37.0,4,8,4,0,0.0,0,0,0.0,0,0.0,101,32.5,0,2011
Scott Riggs,0,39.5,42.3,42.3,41.9,-24,15,39,0,0.0,0,1,1.1,0,0.0,95,28.6,0,2011
Patrick Carpentier,0,40.0,33.0,30.0,33.4,4,58,54,8,13.8,0,1,0.4,0,0.0,265,37.6,0,2011
Sam Hornish Jr.,0,26.0,38.0,35.0,35.7,-25,13,38,0,0.0,0,0,0.0,0,0.0,140,42.4,0,2011
P.J. Jones,0,35.0,43.0,43.0,42.5,-6,3,9,0,0.0,0,0,0.0,0,0.0,5,29.4,0,2011
Jeff Green,0,36.0,43.0,43.0,43.0,-3,4,7,0,0.0,0,0,0.0,0,0.0,11,28.8,0,2011
Scott Speed,0,34.2,38.8,38.5,38.8,-38,103,141,0,0.0,3,3,0.3,0,0.0,1162,31.4,0,2011
Jason White,0,41.0,32.0,33.0,32.1,-3,51,54,13,25.5,0,7,3.6,0,0.0,197,37.4,0,2011
Ron Fellows,0,38.0,19.0,30.0,25.0,31,71,40,18,25.4,0,7,7.7,0,0.0,91,52.5,0,2011
Andrew Ranger,0,35.0,34.0,35.0,31.4,-10,27,37,0,0.0,0,0,0.0,0,0.0,75,41.7,0,2011
Josh Wise,0,36.3,39.5,39.5,39.5,11,28,17,0,0.0,0,2,1.3,0,0.0,149,33.0,0,2011
Reed Sorenson,0,38.0,37.3,37.3,37.3,-3,13,16,0,0.0,0,6,3.6,1,0.6,166,34.6,0,2011
Austin Dillon,0,26.0,30.0,26.0,28.5,-7,77,84,5,6.5,0,1,0.4,0,0.0,270,52.1,0,2011
Cole Whitt,0,24.0,26.5,31.0,29.2,-12,120,132,20,16.7,0,18,3.9,0,0.0,463,49.2,0,2011
Jimmie Johnson,6,9.4,8.3,12.2,9.5,314,2983,2669,2184,73.2,866,8803,84.5,1315,12.6,10418,107.7,6622,2010
Denny Hamlin,8,17.2,13.8,12.9,13.9,404,3176,2772,1811,57.0,653,6644,63.1,1184,11.2,10530,96.2,6583,2010
Kevin Harvick,3,21.0,12.3,8.7,12.4,500,3268,2768,1969,60.3,368,6931,65.1,357,3.4,10645,98.0,6581,2010
Carl Edwards,2,15.2,12.9,11.8,13.2,82,2866,2784,1818,63.4,321,7671,72.5,427,4.0,10575,91.8,6393,2010
Matt Kenseth,0,19.4,13.8,12.8,14.8,61,3183,3122,1670,52.5,205,6453,59.9,108,1.0,10770,85.9,6294,2010
Greg Biffle,2,15.9,15.4,15.4,14.7,-12,3043,3055,1681,55.2,381,5673,54.5,543,5.2,10410,88.4,6247,2010
Tony Stewart,2,13.2,12.6,13.9,13.0,80,2773,2693,1515,54.6,387,6866,63.9,537,5.0,10738,91.2,6221,2010
Kyle Busch,3,15.8,10.4,14.0,11.9,335,3190,2855,2039,63.9,648,8015,75.6,1271,12.0,10607,98.2,6182,2010
Jeff Gordon,0,12.7,9.9,13.4,10.8,-55,2811,2866,1993,70.9,602,8302,78.7,919,8.7,10545,98.5,6176,2010
Clint Bowyer,2,14.9,14.1,14.4,14.4,155,2947,2792,1801,61.1,358,6807,67.2,400,3.9,10133,91.7,6155,2010
Kurt Busch,2,11.1,15.3,15.3,14.0,37,3062,3025,1964,64.1,363,6991,66.3,842,8.0,10540,90.9,6142,2010
Jeff Burton,0,16.6,11.0,15.1,12.1,380,3508,3128,2382,67.9,530,7921,75.0,539,5.1,10556,96.2,6033,2010
Mark Martin,0,14.9,15.7,15.3,15.9,20,2984,2964,1292,43.3,247,5367,50.4,148,1.4,10646,82.8,4364,2010
Jamie McMurray,3,13.4,14.3,16.4,15.3,79,3054,2975,1550,50.8,321,5919,55.8,346,3.3,10603,86.5,4325,2010
Ryan Newman,1,11.9,16.0,15.7,16.0,-205,2815,3020,1379,49.0,111,6449,61.3,63,0.6,10522,82.2,4302,2010
Joey Logano,0,16.2,16.9,16.8,16.9,-24,3434,3458,1829,53.3,177,5496,52.0,53,0.5,10564,80.3,4185,2010
Juan Pablo Montoya,1,11.6,13.2,18.0,13.7,14,2826,2812,1928,68.2,407,7148,70.0,411,4.0,10217,90.9,4118,2010
David Reutimann,1,15.6,18.3,18.1,17.3,-47,3226,3273,1901,58.9,239,5805,57.7,104,1.0,10055,82.7,4024,2010
AJ Allmendinger,0,16.1,18.6,17.8,17.8,113,3317,3204,1359,41.0,190,4714,46.2,181,1.8,10196,79.1,3998,2010
Kasey Kahne,0,13.5,16.5,18.9,16.7,152,3443,3291,1902,55.2,370,5000,48.5,350,3.4,10309,82.8,3961,2010
Dale Earnhardt Jr.,0,19.0,18.8,18.6,18.9,33,3655,3622,1599,43.7,198,4121,38.5,185,1.7,10710,75.7,3953,2010
Martin Truex Jr.,0,17.1,15.1,18.8,16.6,-55,3290,3345,1727,52.5,260,5454,52.8,88,0.9,10327,82.2,3916,2010
Paul Menard,0,19.6,20.5,19.8,19.3,-247,3455,3702,1280,37.0,81,3717,34.8,17,0.2,10669,70.9,3776,2010
David Ragan,0,22.5,22.1,21.3,21.9,-22,3565,3587,1287,36.1,19,1986,18.8,13,0.1,10541,66.2,3599,2010
Brad Keselowski,0,23.0,22.1,22.4,22.1,-70,3277,3347,1007,30.7,90,2293,22.0,41,0.4,10410,65.1,3485,2010
Marcos Ambrose,0,21.8,22.1,22.6,21.5,192,3245,3053,992,30.6,139,2740,27.3,84,0.8,10027,68.9,3422,2010
Elliott Sadler,0,24.8,25.7,24.8,24.9,-109,3443,3552,1246,36.2,53,1178,11.4,32,0.3,10363,58.9,3234,2010
Regan Smith,0,24.6,24.7,24.5,25.4,-215,2755,2970,568,20.6,50,793,7.8,4,0.0,10208,58.4,3229,2010
Sam Hornish Jr.,0,20.8,25.6,24.9,24.4,-276,3112,3388,968,31.1,96,1436,14.0,50,0.5,10260,61.5,3214,2010
Scott Speed,0,24.1,26.1,25.1,25.7,-286,3535,3821,727,20.6,54,693,6.6,21,0.2,10472,57.3,3178,2010
Bobby Labonte,0,31.7,31.3,30.6,31.2,-171,2456,2627,442,18.0,20,206,2.4,8,0.1,8584,45.9,2583,2010
David Gilliland,0,36.0,31.4,29.3,31.1,87,1848,1761,268,14.5,46,176,1.8,8,0.1,9696,43.2,2445,2010
Travis Kvapil,0,37.2,31.6,29.5,31.9,25,1807,1782,235,13.0,37,117,1.2,9,0.1,9694,41.8,2426,2010
Robby Gordon,0,33.8,30.6,29.1,30.8,141,2028,1887,391,19.3,71,335,5.0,10,0.1,6669,47.3,2028,2010
Kevin Conway,0,40.3,36.0,32.6,36.0,-69,576,645,9,1.6,3,26,0.4,1,0.0,6896,32.5,1830,2010
Casey Mears,0,27.1,30.4,29.5,29.7,-93,1340,1433,210,15.7,22,131,2.4,2,0.0,5507,49.6,1573,2010
Dave Blaney,0,32.0,38.5,38.2,38.2,-228,615,843,39,6.3,6,21,0.6,4,0.1,3707,34.2,1416,2010
Joe Nemechek,0,29.3,39.9,40.0,39.4,-370,438,808,13,3.0,7,21,0.9,5,0.2,2326,33.2,1361,2010
Reed Sorenson,0,28.4,28.5,26.4,28.1,6,1089,1083,230,21.1,22,370,9.9,5,0.1,3733,52.9,1355,2010
Brian Vickers,0,21.6,20.0,20.0,19.5,97,1320,1223,787,59.6,38,1679,47.8,27,0.8,3510,74.8,1158,2010
Bill Elliott,0,29.8,28.7,26.1,29.4,-40,949,989,119,12.5,15,85,2.6,1,0.0,3315,50.8,1107,2010
Mike Bliss,0,33.6,36.1,34.0,36.0,-111,790,901,291,36.8,12,123,5.1,2,0.1,2394,38.9,1050,2010
Max Papis,0,32.4,37.9,36.6,37.1,-74,358,432,19,5.3,2,17,0.7,0,0.0,2433,34.4,907,2010
J.J. Yeley,0,35.2,38.5,37.1,38.1,-109,274,383,9,3.3,3,7,0.3,2,0.1,2021,33.8,891,2010
